id_songs,name_song,popularity_songs,duration_ms,explicit,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,followers,genres,name_artists,popularity_artists
0IA0Hju8CAgYfV1hwhidBH,La Java,0,161427,0,4AxgXfD7ISvJSTObqm4aIE,1922,0.563,0.184,4,-13.757,1,0.0512,0.993,1.55e-05,0.325,0.654,133.088,3,5078.0,['vintage chanson'],Mistinguett,22
1b8HZQCqcqwbzlA1jRTp6E,En Douce,0,223440,0,4AxgXfD7ISvJSTObqm4aIE,1922,0.427,0.18,10,-15.375,1,0.067,0.989,0.0,0.128,0.431,78.459,3,5078.0,['vintage chanson'],Mistinguett,22
5d5gQxHwYovxR5pqETOIAa,J'en Ai Marre,0,208267,0,4AxgXfD7ISvJSTObqm4aIE,1922,0.511,0.206,0,-15.514,1,0.0592,0.995,0.0,0.418,0.481,70.443,4,5078.0,['vintage chanson'],Mistinguett,22
1EO65UEEPfy7CR0NK2sDxy,Ils n'ont pas ca,0,161933,0,4AxgXfD7ISvJSTObqm4aIE,1924,0.676,0.467,9,-12.393,0,0.165,0.991,0.0,0.219,0.726,129.775,4,5078.0,['vintage chanson'],Mistinguett,22
6a58gXSgqbIsXUhVZ6ZJqe,La belote,0,167973,0,4AxgXfD7ISvJSTObqm4aIE,1924,0.65,0.298,9,-13.806,1,0.138,0.991,0.0,0.373,0.844,75.95,4,5078.0,['vintage chanson'],Mistinguett,22
6sVxCBvLSd9PZA7prJn53O,Oh mademoiselle,0,158693,0,4AxgXfD7ISvJSTObqm4aIE,1924,0.671,0.454,10,-14.39,1,0.279,0.988,0.0,0.318,0.852,121.611,4,5078.0,['vintage chanson'],Mistinguett,22
3S9RAJj909UR6oOfaGxwad,Il m'a vue nue,0,196507,0,4AxgXfD7ISvJSTObqm4aIE,1925,0.515,0.249,4,-9.382,1,0.0408,0.994,1.13e-05,0.314,0.592,72.791,4,5078.0,['vintage chanson'],Mistinguett,22
3vuypSGFgGT7JKJiWPJURp,Mon Bus'ness,0,172840,0,4AxgXfD7ISvJSTObqm4aIE,1925,0.415,0.33,0,-14.533,1,0.128,0.978,0.0,0.32,0.719,72.96,4,5078.0,['vintage chanson'],Mistinguett,22
50gOBrK00pGazhLXGMEqwc,Ça c'est Paris,0,172987,0,4AxgXfD7ISvJSTObqm4aIE,1925,0.582,0.371,4,-9.032,1,0.0337,0.994,0.000647,0.0937,0.76,128.547,4,5078.0,['vintage chanson'],Mistinguett,22
3k4N13FLmeIcETs5zwxnvd,Le Fado,0,154733,0,4AxgXfD7ISvJSTObqm4aIE,1926,0.537,0.383,1,-12.114,1,0.0567,0.992,4.08e-06,0.144,0.639,136.825,4,5078.0,['vintage chanson'],Mistinguett,22
4GshFKa3DGuPRQrQCJfmTb,Valencia,0,171427,0,4AxgXfD7ISvJSTObqm4aIE,1926,0.404,0.467,9,-12.8,0,0.0752,0.989,0.000134,0.201,0.72,68.586,3,5078.0,['vintage chanson'],Mistinguett,22
5VYMsRuo2G6bazDYqfHIOg,J'suis Nature,0,180040,0,4AxgXfD7ISvJSTObqm4aIE,1926,0.661,0.218,1,-13.066,1,0.0668,0.886,0.0,0.135,0.834,125.892,4,5078.0,['vintage chanson'],Mistinguett,22
4UEb4wMww8xBfAR4CvY9ML,Il M'a Vue Nue,0,199227,0,4AxgXfD7ISvJSTObqm4aIE,1927,0.474,0.142,4,-15.143,1,0.0408,0.95,0.0,0.223,0.722,74.006,4,5078.0,['vintage chanson'],Mistinguett,22
4aFCJNMEO5nF9N4fGeEBKs,Ça C'est Paris,0,175133,0,4AxgXfD7ISvJSTObqm4aIE,1927,0.649,0.292,4,-10.492,1,0.0353,0.952,1.2e-05,0.0731,0.847,128.0,4,5078.0,['vintage chanson'],Mistinguett,22
0WkWmlP47skmepwAz7dlFI,Parisette,1,164067,0,4AxgXfD7ISvJSTObqm4aIE,1928,0.645,0.37,5,-12.21,1,0.0644,0.942,1.83e-06,0.0913,0.893,132.871,4,5078.0,['vintage chanson'],Mistinguett,22
3JXqcCMCG5fmd3TULURKkN,On M'suit,0,140867,0,4AxgXfD7ISvJSTObqm4aIE,1928,0.76,0.366,2,-10.173,1,0.065,0.939,0.0,0.407,0.846,129.074,4,5078.0,['vintage chanson'],Mistinguett,22
5WkpF4mBlas0X6HU0i0i1f,La Java De Doudoune,0,181800,0,4AxgXfD7ISvJSTObqm4aIE,1928,0.598,0.277,7,-10.338,1,0.0495,0.91,0.0,0.266,0.744,75.772,4,5078.0,['vintage chanson'],Mistinguett,22
5d7VSINcObAM5V2717bZA2,Tout Ça C'est Pour Vous,0,164107,0,4AxgXfD7ISvJSTObqm4aIE,1928,0.521,0.188,9,-12.262,1,0.0459,0.897,0.0,0.102,0.705,110.853,4,5078.0,['vintage chanson'],Mistinguett,22
0w3WuMrdtHqdSm3sdGDxQq,Gosse De Paris,0,194026,0,4AxgXfD7ISvJSTObqm4aIE,1929,0.707,0.316,4,-12.235,1,0.221,0.98,0.0,0.0851,0.804,111.138,3,5078.0,['vintage chanson'],Mistinguett,22
0xm39QlrWy3ZZsCb7dP6c4,C'est Tout C'que J'ai,0,150047,0,4AxgXfD7ISvJSTObqm4aIE,1929,0.637,0.184,7,-12.268,0,0.053,0.969,0.0,0.321,0.633,92.062,4,5078.0,['vintage chanson'],Mistinguett,22
6qviDivTUtbGkIpA43sfx1,Rita,0,145914,0,4AxgXfD7ISvJSTObqm4aIE,1929,0.646,0.376,0,-13.469,1,0.106,0.929,0.0,0.165,0.874,78.611,3,5078.0,['vintage chanson'],Mistinguett,22
6pNtEALaIwuYZ9eWlmoDSC,J'ai Des Touches,0,170173,0,4AxgXfD7ISvJSTObqm4aIE,1931,0.717,0.231,0,-15.574,1,0.267,0.914,0.0,0.064,0.786,119.306,4,5078.0,['vintage chanson'],Mistinguett,22
1FpE091r8YuPh9rRdV1SrH,C'est Vrai,0,177640,0,4AxgXfD7ISvJSTObqm4aIE,1935,0.711,0.193,7,-14.279,1,0.0923,0.954,0.0,0.148,0.833,126.836,4,5078.0,['vintage chanson'],Mistinguett,22
4C35Lg12ds8zzh0vLhkAfd,Mon homme,28,192160,0,4AxgXfD7ISvJSTObqm4aIE,1991,0.455,0.173,10,-19.015,1,0.0772,0.935,0.0,0.6,0.542,95.784,4,5078.0,['vintage chanson'],Mistinguett,22
0TWsNj5iSvbMTtbEDP7A4V,Elle Prend L'boulevard Magenta,0,172027,0,7DIlOK9L8d0IQ7Xk8aJxDW,1922,0.709,0.289,2,-14.978,1,0.18,0.967,0.0,0.119,0.84,107.515,4,294.0,['vintage chanson'],Félix Mayol,4
4CjnVzvSu86vqI5gY8SjPx,Elle Vendait Des P'tits Gateaux,0,151573,0,7DIlOK9L8d0IQ7Xk8aJxDW,1922,0.716,0.301,5,-14.07,1,0.105,0.987,0.0,0.277,0.969,129.153,4,294.0,['vintage chanson'],Félix Mayol,4
2d3OQvoLSn9NA4sMGIYxNT,La Valse Du Faubourg,0,173427,0,7DIlOK9L8d0IQ7Xk8aJxDW,1923,0.623,0.292,4,-11.501,1,0.0558,0.978,0.0,0.341,0.934,61.28,3,294.0,['vintage chanson'],Félix Mayol,4
1Tgy37TEdQ8cD9txCOP7uX,Tout Doucement À Pas De Loup,0,201067,0,7DIlOK9L8d0IQ7Xk8aJxDW,1926,0.683,0.241,7,-14.603,1,0.375,0.957,0.00423,0.214,0.727,142.683,4,294.0,['vintage chanson'],Félix Mayol,4
24Rsi7lxsGJCLdJV68jplw,Mam'zell Accept'rez Vous,0,160427,0,7DIlOK9L8d0IQ7Xk8aJxDW,1927,0.673,0.252,3,-16.271,1,0.124,0.888,0.0442,0.069,0.766,94.972,4,294.0,['vintage chanson'],Félix Mayol,4
112adU33vo4C1eRZct2hWy,Nuits De Chine,4,180800,0,28pbIiOohRRZjqpAM9iqYM,1922,0.42,0.288,7,-14.005,1,0.0701,0.994,0.000216,0.196,0.4,139.575,3,39.0,['vintage chanson'],Louis Lynel,2
6zdtMcHb08xZ0AzvLU5s0x,Les ménétriers,2,149760,0,28pbIiOohRRZjqpAM9iqYM,1924,0.522,0.303,2,-13.906,0,0.0793,0.995,2.46e-06,0.135,0.647,79.817,4,39.0,['vintage chanson'],Louis Lynel,2
1CZkVPFUK7wO1sMOlBHxJr,C'est La Mode Et Voila Tout,0,180400,0,2kBMqLbeN3STYqwPqJW45j,1922,0.592,0.408,10,-11.585,0,0.271,0.993,1.54e-06,0.413,0.766,81.126,4,28.0,['vintage chanson'],Perchicot,0
1FnTOwM5cW5N9wzCWziLKC,La Ronde De Nuit,0,177400,0,2kBMqLbeN3STYqwPqJW45j,1922,0.55,0.31,10,-15.423,0,0.168,0.992,0.0,0.204,0.568,125.829,4,28.0,['vintage chanson'],Perchicot,0
6nL3RDerJ8lSOX1anIzpdz,Quand On Aime On A Toujours Vingt Ans,0,198507,0,2kBMqLbeN3STYqwPqJW45j,1923,0.374,0.383,5,-15.804,1,0.188,0.987,0.0,0.241,0.524,169.836,4,28.0,['vintage chanson'],Perchicot,0
4IUls53mx64sfeX1LBxCM5,Je N'suis Pas Celle Que Vous Croyez,0,185973,0,2kBMqLbeN3STYqwPqJW45j,1925,0.65,0.52,9,-12.068,1,0.0817,0.953,0.0,0.0629,0.888,131.367,3,28.0,['vintage chanson'],Perchicot,0
6nFlwilgH3vFRFZ4BQhg3j,Sous Le Soleil Marocain,0,205573,0,2kBMqLbeN3STYqwPqJW45j,1925,0.496,0.383,4,-11.25,1,0.0672,0.99,0.0,0.184,0.578,97.72,4,28.0,['vintage chanson'],Perchicot,0
1ssmmcu30tT05PKbBgxh3S,La Chanson Française,0,126867,0,2kBMqLbeN3STYqwPqJW45j,1928,0.569,0.312,5,-10.911,1,0.0919,0.993,7.26e-06,0.156,0.792,135.851,4,28.0,['vintage chanson'],Perchicot,0
10w4ytikRJQhWqgh5tpA6E,Dites Moi Doumergue,0,154691,0,2kBMqLbeN3STYqwPqJW45j,1929,0.71,0.561,5,-12.736,1,0.472,0.955,0.0,0.213,0.963,78.705,4,28.0,['vintage chanson'],Perchicot,0
6ZWi1fuonJCUlt4p6o9Uzs,La Noce À Rebecca,0,140267,0,2kBMqLbeN3STYqwPqJW45j,1928,0.769,0.442,2,-12.697,0,0.273,0.989,1.27e-06,0.167,0.934,132.125,4,28.0,['vintage chanson'],Perchicot,0
3d8zXYhG3sFx4uL9vv8IRu,Le Tango Neurasthénique,0,187040,0,0Yly6PvJghpLD3Lj8Kvpcj,1922,0.564,0.433,2,-14.619,0,0.356,0.979,3.74e-06,0.226,0.601,72.003,4,675.0,['vintage chanson'],Georgius,8
5P35CyOEQiMqf8Hd6Pty5p,Méfiez Vous D'anatole,0,192933,0,0Yly6PvJghpLD3Lj8Kvpcj,1922,0.625,0.35,10,-15.916,1,0.312,0.984,0.0,0.0988,0.808,81.567,4,675.0,['vintage chanson'],Georgius,8
7yWdEDmuqweoRkhZeftRtR,Sur La Pointe Des Pieds,0,187733,0,0Yly6PvJghpLD3Lj8Kvpcj,1922,0.528,0.343,0,-14.963,0,0.315,0.995,0.0,0.385,0.634,83.2,4,675.0,['vintage chanson'],Georgius,8
1HfsGFkj5HdvEUyiWAr5Bv,Ma Gosse,0,204400,0,0Yly6PvJghpLD3Lj8Kvpcj,1923,0.635,0.285,1,-16.475,1,0.217,0.98,0.0,0.446,0.759,123.849,4,675.0,['vintage chanson'],Georgius,8
4qCTrMjyVYDIGVKSGbuBNF,Il N'osait Pas Se Decider,0,182440,0,0Yly6PvJghpLD3Lj8Kvpcj,1923,0.613,0.457,7,-15.501,1,0.51,0.976,0.0,0.192,0.706,76.682,4,675.0,['vintage chanson'],Georgius,8
1agQgiViJVJrONfuBVGck6,Passons la monnaie,0,197640,0,0Yly6PvJghpLD3Lj8Kvpcj,1924,0.553,0.374,3,-11.64,1,0.329,0.991,0.0,0.159,0.513,85.914,1,675.0,['vintage chanson'],Georgius,8
62iSxXOvjCAAZO0uaQE00r,Par politesse,0,211040,0,0Yly6PvJghpLD3Lj8Kvpcj,1924,0.527,0.329,8,-15.134,1,0.302,0.993,0.0,0.116,0.753,79.839,4,675.0,['vintage chanson'],Georgius,8
7kIDTIcLMrh9djvypGXayM,La plus bath des javas,0,194893,0,0Yly6PvJghpLD3Lj8Kvpcj,1924,0.651,0.454,0,-12.764,1,0.169,0.993,0.0,0.278,0.826,80.1,4,675.0,['vintage chanson'],Georgius,8
1xSOWXoINyYVF46ab8sKpb,Hortensia Ou La Fille Du Jazz Band,0,196867,0,0Yly6PvJghpLD3Lj8Kvpcj,1925,0.541,0.378,7,-15.167,1,0.0777,0.992,0.000102,0.131,0.733,140.419,4,675.0,['vintage chanson'],Georgius,8
5ICmyE72I6FbTtMXt76TDo,L'homme Du Milieu,0,196667,0,0Yly6PvJghpLD3Lj8Kvpcj,1925,0.726,0.363,4,-15.093,1,0.0892,0.987,0.0,0.12,0.798,88.384,4,675.0,['vintage chanson'],Georgius,8
0G74FXTvzdA57sWLAwJwXq,Les Absents Ont Toujours Tort,0,177627,0,0Yly6PvJghpLD3Lj8Kvpcj,1926,0.672,0.38,3,-14.833,1,0.212,0.994,0.0,0.426,0.911,120.162,4,675.0,['vintage chanson'],Georgius,8
1MJeNrEs6ChFUzB8M43V8Q,L'amour Excuse Tout,0,150640,0,0Yly6PvJghpLD3Lj8Kvpcj,1926,0.655,0.433,6,-15.925,0,0.409,0.989,0.0,0.335,0.768,92.762,3,675.0,['vintage chanson'],Georgius,8
34j2FNJ27cVMfWETQRcDlt,Jacky Apprend Le Charleston,0,192573,0,0Yly6PvJghpLD3Lj8Kvpcj,1926,0.616,0.345,3,-13.57,1,0.225,0.995,0.0,0.0835,0.676,118.375,5,675.0,['vintage chanson'],Georgius,8
4WBOnVCTorcd1mD5PwaTHg,Y S'retourne Sur Toutes Les Femmes,0,174627,0,0Yly6PvJghpLD3Lj8Kvpcj,1926,0.648,0.399,3,-11.759,1,0.315,0.995,0.0,0.145,0.879,129.826,4,675.0,['vintage chanson'],Georgius,8
0XqpggYu5I9RlszVDTI65b,Veux Tu Que J'te Fasse Un Dessin,0,164440,0,0Yly6PvJghpLD3Lj8Kvpcj,1927,0.625,0.295,7,-15.43,0,0.245,0.834,0.818,0.0971,0.52,127.33,4,675.0,['vintage chanson'],Georgius,8
1LpRZcI6x5jEFpyZGYNK4o,Qu'est Ce Qu'il Faut Faire Pour Gagner Son Beefsteak,0,185333,0,0Yly6PvJghpLD3Lj8Kvpcj,1927,0.683,0.396,7,-14.554,0,0.392,0.828,0.00343,0.103,0.769,64.177,4,675.0,['vintage chanson'],Georgius,8
4JC75tiYMt1L8dRLlfYE0W,Le Genre De La Maison,0,170493,0,0Yly6PvJghpLD3Lj8Kvpcj,1928,0.7,0.518,7,-11.155,1,0.363,0.948,0.0,0.296,0.9,83.328,4,675.0,['vintage chanson'],Georgius,8
3VOrWM9MHY1VWVqD3f22Ab,Il Ne Faut Pas Qu'une Femme Entende Des Choses Comme Ça,0,170017,0,0Yly6PvJghpLD3Lj8Kvpcj,1929,0.656,0.29,7,-13.385,1,0.145,0.908,0.0,0.466,0.8,127.505,4,675.0,['vintage chanson'],Georgius,8
3WLZVHpkOSj09DEjY2OF0w,Les Moins De Cent Ans,0,175636,0,0Yly6PvJghpLD3Lj8Kvpcj,1929,0.636,0.365,7,-13.011,1,0.321,0.832,0.0,0.138,0.799,143.499,4,675.0,['vintage chanson'],Georgius,8
4tskLwM23Ad4UOn926Ky34,Le Piéton,0,164490,0,0Yly6PvJghpLD3Lj8Kvpcj,1929,0.679,0.442,4,-12.63,1,0.466,0.903,0.0,0.128,0.764,112.733,5,675.0,['vintage chanson'],Georgius,8
37AeYV1i4fDaml72Cp2onJ,On L'appelait Fleur Des Fortifs,0,195667,0,0Yly6PvJghpLD3Lj8Kvpcj,1930,0.644,0.297,4,-11.957,1,0.429,0.694,0.0,0.0783,0.764,98.965,3,675.0,['vintage chanson'],Georgius,8
29Ddy7xEZ8SiTrSmiWsQqd,Oh Oh Il Travaille Du Chapeau,0,154924,0,0Yly6PvJghpLD3Lj8Kvpcj,1932,0.706,0.392,4,-14.077,1,0.739,0.837,0.0,0.126,0.796,75.143,4,675.0,['vintage chanson'],Georgius,8
4iy1fsAHBgR2STJjPDhjY2,Mes Parents Sont Venus Me Chercher,0,183840,0,0hKr2636wsQI7PrARkAiaA,1922,0.554,0.204,7,-14.764,1,0.0598,0.995,1.24e-06,0.153,0.62,97.337,4,25.0,['vintage chanson'],Fortugé,0
7p94hrYktZStgIu6TCj3cZ,Antoine,0,165200,0,0hKr2636wsQI7PrARkAiaA,1922,0.537,0.153,8,-15.217,1,0.0898,0.994,0.0,0.419,0.558,129.134,4,25.0,['vintage chanson'],Fortugé,0
71tnorDlCFZ4g2c1VEaQkR,C'est Jeune Et Ca N'sait Pas,0,187933,0,0hKr2636wsQI7PrARkAiaA,1923,0.687,0.173,5,-14.726,1,0.0772,0.993,0.0,0.86,0.765,114.198,4,25.0,['vintage chanson'],Fortugé,0
4g4UXXZXrlGxdrXisWRTYo,La chanson du trombone,0,188067,0,0hKr2636wsQI7PrARkAiaA,1924,0.526,0.151,10,-16.071,0,0.0696,0.995,0.0,0.376,0.484,81.288,4,25.0,['vintage chanson'],Fortugé,0
4ep3h4btBtuxsNeLFVzq5A,West End Blues,18,195400,0,0t4VVR2T9Sb0z3NdDdEU6S,1923,0.621,0.274,3,-12.094,1,0.0514,0.986,0.63,0.113,0.523,84.788,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
08XPnovoMlLsFB3LDGq0rX,Muggles,14,168533,0,0t4VVR2T9Sb0z3NdDdEU6S,1923,0.586,0.113,10,-12.211,1,0.0607,0.989,0.276,0.181,0.484,85.235,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
20VPM7ePvpxTQyZFjOiP1g,Beau Koo Jack,9,177240,0,0t4VVR2T9Sb0z3NdDdEU6S,1923,0.733,0.418,3,-12.287,1,0.0765,0.949,0.792,0.229,0.961,121.289,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
4FINjzgcPjqR2PPpnWrCKF,Heebie Jeebies,8,172493,0,0t4VVR2T9Sb0z3NdDdEU6S,1923,0.63,0.232,8,-13.627,1,0.0569,0.995,0.00627,0.124,0.59,164.027,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
02smo7WfO95Ww8MZw06h1p,Gut Bucket Blues,6,161800,0,0t4VVR2T9Sb0z3NdDdEU6S,1923,0.602,0.216,0,-12.264,1,0.0676,0.996,0.524,0.0973,0.716,146.183,3,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
0HUCWtOLhJhXwSRn6pvzQC,Skid-Dat-De-Dat,6,181027,0,0t4VVR2T9Sb0z3NdDdEU6S,1923,0.658,0.0841,5,-14.759,1,0.0496,0.994,0.767,0.088,0.504,121.494,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
2n13QpmPEINmoTLUAlLCd7,King Of The Zulas,5,183133,0,0t4VVR2T9Sb0z3NdDdEU6S,1923,0.536,0.168,2,-15.701,1,0.114,0.994,0.121,0.29,0.554,169.061,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
377bagPbNQx6K6RKjuUFQ3,Skip The Gutter,5,184133,0,0t4VVR2T9Sb0z3NdDdEU6S,1923,0.653,0.131,8,-19.164,1,0.0628,0.977,0.733,0.6,0.593,124.1,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
4m1Th0JSQkevDsHiOpoxlQ,Basin Street Blues - rec. 1928,6,197067,0,0t4VVR2T9Sb0z3NdDdEU6S,1923,0.561,0.353,10,-9.617,1,0.0538,0.971,0.13,0.922,0.514,107.711,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
6JLKiy1LMbmYY8JOM38UR9,Cornet Chop Suey,5,194267,0,0t4VVR2T9Sb0z3NdDdEU6S,1923,0.558,0.19,3,-14.621,1,0.0869,0.995,0.572,0.113,0.692,170.066,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
0fuLzjcUhMW9s6NBsDb22L,Tight Like This,4,197627,0,0t4VVR2T9Sb0z3NdDdEU6S,1923,0.726,0.254,1,-10.298,0,0.124,0.982,0.33,0.0398,0.456,110.86,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
2gwppa6p7HymxbyxEooUNI,Two Deuces,4,172667,0,0t4VVR2T9Sb0z3NdDdEU6S,1923,0.713,0.294,5,-10.672,1,0.073,0.963,0.348,0.387,0.558,85.299,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
4Q5I6riVFNV4mJaqSCmB0C,Basin Street Blues - rec. 1928,4,207000,0,0t4VVR2T9Sb0z3NdDdEU6S,1923,0.604,0.279,10,-11.588,1,0.0446,0.986,0.237,0.275,0.594,123.271,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
4j1w8LCA1MLSnTYxMVXQ63,Savoy Blues,4,208040,0,0t4VVR2T9Sb0z3NdDdEU6S,1923,0.811,0.151,7,-14.297,1,0.0823,0.986,0.869,0.0965,0.544,127.944,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
7eKV3eq2hqgAkYaWF3voms,Big Butter And Egg Man,4,177093,0,0t4VVR2T9Sb0z3NdDdEU6S,1923,0.699,0.273,7,-11.624,1,0.0886,0.995,0.367,0.108,0.895,102.375,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
0VrJGvUzoKxMcYJwmGjp6o,Don't Forget To Mess Around,16,181933,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.634,0.335,5,-11.135,0,0.0646,0.992,0.0124,0.0919,0.774,101.383,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
1wjpuZ24mVP7w6TqIuqd6E,Heebie Jeebies,10,171733,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.668,0.321,1,-10.663,1,0.0916,0.983,2.67e-05,0.141,0.592,164.459,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
7vHMW83G12ReQdIdeFjz1d,"Come Back, Sweet Papa",11,146240,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.775,0.302,0,-10.082,1,0.127,0.916,0.553,0.0369,0.924,99.518,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
4Jyc05T8jnG9aM2uEqYNiT,Gut Bucket Blues,9,159867,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.573,0.306,0,-9.597,1,0.0513,0.988,3.19e-05,0.0786,0.738,146.726,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
4pQDxL19Ou1UkKov5efhZ9,Who'sit,8,163600,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.727,0.347,0,-10.413,1,0.0393,0.993,0.696,0.0718,0.868,106.336,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
08xsdHuewDXOOxslPfCePe,You're Next,5,194600,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.626,0.227,8,-11.831,1,0.0581,0.985,0.0212,0.119,0.494,126.859,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
0m6LYkcdwEK1V91QO3s8UE,You're Next,6,194600,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.625,0.227,8,-11.828,1,0.0584,0.985,0.0216,0.119,0.474,126.859,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
1AlA6ZbyOTcEHtzF71dgEP,Muskrat Ramble,5,150133,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.668,0.342,8,-10.164,1,0.213,0.982,0.616,0.071,0.849,183.842,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
1FUqgcwIQscyB87x0WexxU,Who'sit,5,163600,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.727,0.347,0,-10.413,1,0.0393,0.993,0.696,0.0718,0.868,106.336,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
1zEu7udRDuNEXxiJ86E3Oj,My Heart,6,142907,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.696,0.463,0,-7.236,0,0.097,0.985,0.144,0.089,0.825,97.808,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
231GWLH2xwmA1kTT8ksQrs,Cornet Chop Suey,5,175027,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.628,0.278,5,-9.357,1,0.144,0.994,0.135,0.0617,0.77,97.268,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
2Xnl6Oio9IKD4GLP1AOOaz,Heebie Jeebies,6,171733,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.668,0.321,1,-10.663,1,0.0916,0.983,2.67e-05,0.141,0.592,164.459,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
2nYq88l6gdmBEnCFsYQZrr,Don't Forget To Mess Around,6,181933,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.634,0.335,5,-11.135,0,0.0646,0.992,0.0124,0.0919,0.774,101.381,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
3CxYwu2ZKx5cF8bXln6Se6,Georgia Grind,5,151560,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.733,0.209,8,-14.649,1,0.0603,0.908,0.0,0.178,0.7,140.38,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
3QmGVzzYJ82Ybn6eaiLww1,"Come Back, Sweet Papa",5,146240,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.775,0.302,0,-10.082,1,0.125,0.916,0.538,0.0369,0.925,99.515,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
3b7nU884FTRxjCfLW9aYJG,Oriental Strut,5,179293,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.54,0.254,5,-11.859,1,0.0823,0.995,0.493,0.175,0.473,183.916,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
4EGQTTx3JoHMkXnCuI97HY,Georgia Grind,5,151560,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.732,0.209,8,-14.649,1,0.0596,0.908,0.0,0.178,0.696,140.423,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
61wCa6mI8xxcZH2GGnWPBc,Gut Bucket Blues,7,168400,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.618,0.141,11,-17.2,1,0.113,0.996,0.91,0.115,0.759,138.691,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
65TRLzR4miaAq6mkigGRx8,Droppin' Shucks,6,170493,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.579,0.295,5,-9.23,1,0.132,0.993,0.145,0.24,0.767,176.628,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
7I7F8B2WRiSTcTyYvDdKST,West End Blues,5,198507,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.595,0.191,3,-13.623,1,0.0553,0.971,0.533,0.0881,0.338,83.579,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
7MHIbWlrSheueqRayXIPk7,Yes! I'm in the Barrel,5,155973,0,0t4VVR2T9Sb0z3NdDdEU6S,1925,0.729,0.277,5,-9.915,1,0.0859,0.995,0.0015,0.107,0.746,155.109,4,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
